Region,EpochName,Top (Ma),Bottom (Ma),broader (Period),broaderTransitive (Era),broaderTransitive (Eon)
New Zealand,Wanganui,0,5.33,Quaternary,Cenozoic,Phanerozoic
New Zealand,Taranaki,5.33,11.04,Neogene,Cenozoic,Phanerozoic
New Zealand,Southland,11.04,15.9,Neogene,Cenozoic,Phanerozoic
New Zealand,Pareora,15.9,21.7,Neogene,Cenozoic,Phanerozoic
New Zealand,Landon,21.7,34.6,Paleogene,Cenozoic,Phanerozoic
New Zealand,Arnold,34.6,42.51,Paleogene,Cenozoic,Phanerozoic
New Zealand,Dannevirke,42.51,66.04,Paleogene,Cenozoic,Phanerozoic
New Zealand,Mata,66.04,86.5,Cretaceous,Mesozoic,Phanerozoic
New Zealand,Raukumara,86.5,95.5,Cretaceous,Mesozoic,Phanerozoic
New Zealand,Clarence,95.5,108.4,Cretaceous,Mesozoic,Phanerozoic
New Zealand,Taitai,108.4,145.7,Cretaceous,Mesozoic,Phanerozoic
New Zealand,Oteke,145.7,150.02,Jurassic,Mesozoic,Phanerozoic
New Zealand,Kawhia,150.02,177.22,Jurassic,Mesozoic,Phanerozoic
New Zealand,Herangi,177.22,201.36,Jurassic,Mesozoic,Phanerozoic
New Zealand,Balfour,201.36,228.95,Triassic,Mesozoic,Phanerozoic
New Zealand,Gore,228.95,250.86,Triassic,Mesozoic,Phanerozoic
New Zealand,D'Urville,250.86,259.81,Permian,Paleozoic,Phanerozoic
New Zealand,Aparima,259.81,288.05,Permian,Paleozoic,Phanerozoic
New Zealand,Late,359.2,382.69,Ordovician,Paleozoic,Phanerozoic
New Zealand,Middle,382.69,393.25,Ordovician,Paleozoic,Phanerozoic
New Zealand,Early,393.25,419.2,Ordovician,Paleozoic,Phanerozoic
New Zealand,Pridoli,419.2,422.96,Silurian,Paleozoic,Phanerozoic
New Zealand,Ludlow,422.96,427.36,Silurian,Paleozoic,Phanerozoic
New Zealand,Wenlock,427.36,433.35,Silurian,Paleozoic,Phanerozoic
New Zealand,Llandovery,433.35,443.83,Silurian,Paleozoic,Phanerozoic
New Zealand,Late,443.83,458.36,Ordovician,Paleozoic,Phanerozoic
New Zealand,Middle,458.36,470.42,Ordovician,Paleozoic,Phanerozoic
New Zealand,Early,470.42,485.43,Ordovician,Paleozoic,Phanerozoic
New Zealand,Furongian,485.43,497,Cambrian,Paleozoic,Phanerozoic
New Zealand,Middle,497,511.5,Ordovician,Paleozoic,Phanerozoic
New Zealand,Early,511.5,541,Ordovician,Paleozoic,Phanerozoic
